Line;Subjects;Synchronicity;Elongation;Oder;RHI Index;PD;DeltaPSE;DeltaEA
163;S55;A;20;3;-1,5;0;-6,97201511;-7,892122679
164;S55;S;20;2;1,666666667;-78,37323631;4,774040264;4,312314358
165;S55;S;40;1;1,833333333;-152,2991126;-7,852520431;-3,504794364
166;S56;A;20;1;-0,666666667;69,24323189;-6,413327814;8,470820408
167;S56;S;20;2;1,666666667;43,5476766;7,689731988;-2,913936838
168;S56;S;40;3;2,166666667;-111,2170837;1,486209878;-6,002237464
169;S57;A;20;3;1,666666667;41,97385181;7,418925462;0,897437883
170;S57;S;20;1;4,333333333;107,1141868;2,709498725;10,18359846
171;S57;S;40;2;3;120,3922949;-9,827337967;-2,716607962
172;S58;A;20;1;3,166666667;166,9805859;-2,099518939;-6,909657321
173;S58;S;20;3;2,333333333;61,58384786;-6,1709653;-20,58698517
174;S58;S;40;2;2,333333333;99,86818293;5,228145961;16,64509303
175;S59;A;20;3;-0,833333333;-43,5476766;1,534112985;-3,651966561
176;S59;S;20;1;5;37,8651437;1,031209965;1,182424189
177;S59;S;40;2;5;19,90051061;-4,008042802;0,315449233
178;S60;A;20;3;1;0;-1,575658002;8,611156696
179;S60;S;20;1;3,333333333;25,02326709;-2,444438051;-3,448057392
180;S60;S;40;2;2,166666667;66,60609419;0,69051738;-1,363383153
181;S61;A;20;1;0;26,12579588;3,959876108;-8,011715242
182;S61;S;20;2;2,333333333;-53,44564575;-1,551907964;8,197749014
183;S61;S;40;3;-0,166666667;-120,3922949;-6,135303541;-3,240006119
184;S62;A;20;3;1,5;40,50809261;-0,426985046;-3,702901929
185;S62;S;20;2;2,166666667;187,0307758;-1,690169704;3,090392953
186;S62;S;40;1;2,333333333;-95,814745;-0,431746469;-12,30128209
187;S63;A;20;2;-2,666666667;-206,2879545;-1,292318146;1,862825288
188;S63;S;20;3;2;136,9562559;2,739691193;-0,111120892
189;S63;S;40;1;2,5;195,5961032;-0,305849834;-1,762676764
190;S64;A;20;2;-0,166666667;39,30736863;3,184588808;-10,29814658
191;S64;S;20;1;4,333333333;51,14906297;-8,986085465;15,48540671
192;S64;S;40;3;1,666666667;210,1200663;2,740585298;8,389051231
193;S65;A;20;1;2,5;-26,47168577;-4,52598573;-1,103348975
194;S65;S;20;2;1,666666667;13,10777948;0,270950475;-5,117659957
195;S65;S;40;3;1,833333333;14,23217995;2,123346511;4,078447601
196;S66;A;20;3;0;-274,0650161;0,730698375;7,06904899
197;S66;S;20;2;1,166666667;37,08807292;-2,632294306;-19,89171506
198;S66;S;40;1;1;0;-3,417188068;18,120714
199;S67;A;20;1;1,666666667;422,0737424;-2,35179852;11,38712552
200;S67;S;20;3;3,166666667;122,5803583;3,153514905;4,443637415
201;S67;S;40;2;3;239,2245455;-9,14676464;-11,26419856
202;S68;A;20;2;-0,666666667;0;0,552417918;-5,778806706
203;S68;S;20;1;4,333333333;-30,02433004;-2,722232901;-6,524901688
204;S68;S;40;3;3,333333333;0;3,299724295;8,209960667
205;S69;A;20;2;4;-24,00340752;-3,226522982;-5,920317488
206;S69;S;20;3;4;0;13,2337516;7,667157362
207;S69;S;40;1;4;55,9353672;-0,87265046;4,968136794
